group_id,timeslot_id,day,period,subject_id,teacher_id,room_id
G2,25,Wed,1,31901-2013,T08,R6405
G2,36,Wed,12,31901-2013,T08,R6405
G2,32,Wed,8,31901-2017,T07,R6405
G2,33,Wed,9,31901-2017,T07,R6405
G2,34,Wed,10,31901-2017,T07,R6405
G2,35,Wed,11,31901-2017,T07,R6405
G2,37,Thu,1,31901-2017,T07,R6405
G2,38,Thu,2,31901-2017,T07,R6405
G2,39,Thu,3,30000-2004,T07,R6405
G2,47,Thu,11,30000-2004,T07,R5306
G3,1,Mon,1,30000-1201,T10,R6201
G3,2,Mon,2,30000-1201,T10,R6201
G3,3,Mon,3,30000-1201,T10,R6201
G3,4,Mon,4,30000-1404,T11,R6201
G3,6,Mon,6,30000-1404,T11,R6201
G3,7,Mon,7,30000-1404,T11,R6201
G3,8,Mon,8,30001-1002,T12,R6201
G3,9,Mon,9,30001-1002,T12,R6201
G3,10,Mon,10,30001-1002,T12,R6201
G3,11,Mon,11,30001-1003,T07,R6201
G3,12,Mon,12,30001-1003,T07,R6201
G3,13,Tue,1,30001-1003,T07,R6201
G3,14,Tue,2,30001-1003,T07,R6201
G3,15,Tue,3,31901-2005,T03,R6201
G3,22,Tue,10,31901-2005,T03,R6201
G3,23,Tue,11,31901-2005,T03,R6201
G3,24,Tue,12,31901-2005,T03,R6201
G3,25,Wed,1,31901-2005,T03,R6201
G3,16,Tue,4,31901-2007,T01,R6201
G3,18,Tue,6,31901-2007,T01,R6201
G3,19,Tue,7,31901-2007,T01,R6201
G3,20,Tue,8,31901-2007,T01,R6201
G3,21,Tue,9,31901-2007,T01,R6201
G3,32,Wed,8,31901-2012,T04,R6201
G3,33,Wed,9,31901-2012,T04,R6201
G3,34,Wed,10,31901-2012,T04,R6201
G3,35,Wed,11,31901-2012,T04,R6201
G3,36,Wed,12,31901-2012,T04,R6201
G3,26,Wed,2,30000-2002,T01,R6201
G3,27,Wed,3,30000-2002,T01,R6201
G4,4,Mon,4,30000-1201,T10,R6301
G4,6,Mon,6,30000-1201,T10,R6301
G4,7,Mon,7,30000-1201,T10,R6301
G4,1,Mon,1,30000-1404,T11,R6301
G4,2,Mon,2,30000-1404,T11,R6301
G4,3,Mon,3,30000-1404,T11,R6301
G4,11,Mon,11,30001-1002,T12,R6301
G4,12,Mon,12,30001-1002,T12,R6301
G4,13,Tue,1,30001-1002,T12,R6301
G4,8,Mon,8,30001-1003,T07,R6301
G4,9,Mon,9,30001-1003,T07,R6301
